"","actorparty","direction","count"
"1","BQ","99",78
"2","BQ","Negative",111
"3","BQ","Positive",109
"4","CPC","99",40
"5","CPC","Negative",60
"6","CPC","Positive",197
"7","LPC","99",35
"8","LPC","Negative",128
"9","LPC","Positive",164
"10","NDP","99",28
"11","NDP","Negative",180
"12","NDP","Positive",150
