"","actorparty","ads_count","sent_count","mean","sd"
"1","BQ",7,59,8.4,4.65
"2","CPC",15,152,10.1,3.02
"3","NDP",22,289,13.1,7.1
"4","LPC",26,157,6,3.28
"5","GPC",2,13,6.5,0.71
