"","actorparty","ads_count","sent_count","mean","sd"
"1","BQ",2,18,9,5.66
"2","CPC",2,22,11,4.24
"3","NDP",6,87,14.5,10.71
"4","LPC",4,28,7,3.56
"5","GPC",2,15,7.5,2.12
