"","actorparty","direction","count"
"1","CPC","99",35
"2","CPC","Negative",84
"3","CPC","Positive",212
"4","GPC","99",60
"5","GPC","Negative",88
"6","GPC","Positive",74
"7","LPC","99",26
"8","LPC","Negative",128
"9","LPC","Positive",124
"10","NDP","99",33
"11","NDP","Negative",120
"12","NDP","Positive",144
"13",NA,NA,11
